"","PhotoID","Condition","Generation","First","Second","ID","Rating"
"336",319,"Pair",1,"p4-1-1","Y9011112-1-1",18,2
"337",319,"Pair",1,"p4-1-1","Y9011112-1-1",20,1
"338",319,"Pair",1,"p4-1-1","Y9011112-1-1",24,3
"339",319,"Pair",1,"p4-1-1","Y9011112-1-1",26,1
"340",319,"Pair",1,"p4-1-1","Y9011112-1-1",29,2
"341",320,"Pair",1,"p5-1-1","p7-1-1",2,4
"342",320,"Pair",1,"p5-1-1","p7-1-1",5,2
"343",320,"Pair",1,"p5-1-1","p7-1-1",7,2
"344",320,"Pair",1,"p5-1-1","p7-1-1",12,4
"345",320,"Pair",1,"p5-1-1","p7-1-1",14,3
"346",320,"Pair",1,"p5-1-1","p7-1-1",18,2
"347",320,"Pair",1,"p5-1-1","p7-1-1",21,2
"348",320,"Pair",1,"p5-1-1","p7-1-1",24,2
"349",320,"Pair",1,"p5-1-1","p7-1-1",27,4
"350",320,"Pair",1,"p5-1-1","p7-1-1",30,3
"351",321,"Pair",1,"p5-1-1","p8-1-1",2,1
"352",321,"Pair",1,"p5-1-1","p8-1-1",5,2
"353",321,"Pair",1,"p5-1-1","p8-1-1",7,1
"354",321,"Pair",1,"p5-1-1","p8-1-1",10,1
"355",321,"Pair",1,"p5-1-1","p8-1-1",14,1
"356",321,"Pair",1,"p5-1-1","p8-1-1",16,2
"357",321,"Pair",1,"p5-1-1","p8-1-1",20,2
"358",321,"Pair",1,"p5-1-1","p8-1-1",23,1
"359",321,"Pair",1,"p5-1-1","p8-1-1",25,1
"360",321,"Pair",1,"p5-1-1","p8-1-1",28,2
"361",322,"Pair",1,"p5-1-1","p9-1-1",2,1
"362",322,"Pair",1,"p5-1-1","p9-1-1",5,1
"363",322,"Pair",1,"p5-1-1","p9-1-1",8,1
"364",322,"Pair",1,"p5-1-1","p9-1-1",10,1
"365",322,"Pair",1,"p5-1-1","p9-1-1",14,1
"366",322,"Pair",1,"p5-1-1","p9-1-1",17,1
"367",322,"Pair",1,"p5-1-1","p9-1-1",21,1
"368",322,"Pair",1,"p5-1-1","p9-1-1",23,1
"369",322,"Pair",1,"p5-1-1","p9-1-1",26,1
"370",322,"Pair",1,"p5-1-1","p9-1-1",30,1
"371",323,"Pair",1,"p5-1-1","p10-1-1",3,5
"372",323,"Pair",1,"p5-1-1","p10-1-1",6,5
"373",323,"Pair",1,"p5-1-1","p10-1-1",7,4
"374",323,"Pair",1,"p5-1-1","p10-1-1",12,4
"375",323,"Pair",1,"p5-1-1","p10-1-1",15,5
"376",323,"Pair",1,"p5-1-1","p10-1-1",18,4
"377",323,"Pair",1,"p5-1-1","p10-1-1",19,4
"378",323,"Pair",1,"p5-1-1","p10-1-1",23,4
"379",323,"Pair",1,"p5-1-1","p10-1-1",27,4
"380",323,"Pair",1,"p5-1-1","p10-1-1",29,5
"381",324,"Pair",1,"p5-1-1","PEX11-1-1",2,4
"382",324,"Pair",1,"p5-1-1","PEX11-1-1",5,3
"383",324,"Pair",1,"p5-1-1","PEX11-1-1",7,2
"384",324,"Pair",1,"p5-1-1","PEX11-1-1",10,4
"385",324,"Pair",1,"p5-1-1","PEX11-1-1",14,2
"386",324,"Pair",1,"p5-1-1","PEX11-1-1",17,3
"387",324,"Pair",1,"p5-1-1","PEX11-1-1",19,2
"388",324,"Pair",1,"p5-1-1","PEX11-1-1",22,3
"389",324,"Pair",1,"p5-1-1","PEX11-1-1",26,4
"390",324,"Pair",1,"p5-1-1","PEX11-1-1",29,4
"391",325,"Pair",1,"p5-1-1","Y9011112-1-1",1,1
"392",325,"Pair",1,"p5-1-1","Y9011112-1-1",4,3
"393",325,"Pair",1,"p5-1-1","Y9011112-1-1",8,2
"394",325,"Pair",1,"p5-1-1","Y9011112-1-1",12,3
"395",325,"Pair",1,"p5-1-1","Y9011112-1-1",13,2
"396",325,"Pair",1,"p5-1-1","Y9011112-1-1",18,2
"397",325,"Pair",1,"p5-1-1","Y9011112-1-1",21,1
"398",325,"Pair",1,"p5-1-1","Y9011112-1-1",23,1
"399",325,"Pair",1,"p5-1-1","Y9011112-1-1",25,1
"400",325,"Pair",1,"p5-1-1","Y9011112-1-1",28,5
"401",326,"Pair",1,"p7-1-1","p8-1-1",1,1
"402",326,"Pair",1,"p7-1-1","p8-1-1",4,1
"403",326,"Pair",1,"p7-1-1","p8-1-1",8,1
"404",326,"Pair",1,"p7-1-1","p8-1-1",10,1
"405",326,"Pair",1,"p7-1-1","p8-1-1",13,1
"406",326,"Pair",1,"p7-1-1","p8-1-1",18,2
"407",326,"Pair",1,"p7-1-1","p8-1-1",20,1
"408",326,"Pair",1,"p7-1-1","p8-1-1",22,1
"409",326,"Pair",1,"p7-1-1","p8-1-1",26,1
"410",326,"Pair",1,"p7-1-1","p8-1-1",30,2
"411",327,"Pair",1,"p7-1-1","p9-1-1",3,1
"412",327,"Pair",1,"p7-1-1","p9-1-1",6,2
"413",327,"Pair",1,"p7-1-1","p9-1-1",9,3
"414",327,"Pair",1,"p7-1-1","p9-1-1",10,1
"415",327,"Pair",1,"p7-1-1","p9-1-1",15,3
"416",327,"Pair",1,"p7-1-1","p9-1-1",17,2
"417",327,"Pair",1,"p7-1-1","p9-1-1",19,1
"418",327,"Pair",1,"p7-1-1","p9-1-1",22,2
"419",327,"Pair",1,"p7-1-1","p9-1-1",27,1
"420",327,"Pair",1,"p7-1-1","p9-1-1",28,2
"421",328,"Pair",1,"p7-1-1","p10-1-1",2,4
"422",328,"Pair",1,"p7-1-1","p10-1-1",5,3
"423",328,"Pair",1,"p7-1-1","p10-1-1",8,2
"424",328,"Pair",1,"p7-1-1","p10-1-1",11,2
"425",328,"Pair",1,"p7-1-1","p10-1-1",14,3
"426",328,"Pair",1,"p7-1-1","p10-1-1",17,4
"427",328,"Pair",1,"p7-1-1","p10-1-1",20,2
"428",328,"Pair",1,"p7-1-1","p10-1-1",22,2
"429",328,"Pair",1,"p7-1-1","p10-1-1",25,3
"430",328,"Pair",1,"p7-1-1","p10-1-1",29,4
"431",329,"Pair",1,"p7-1-1","PEX11-1-1",1,4
"432",329,"Pair",1,"p7-1-1","PEX11-1-1",4,5
"433",329,"Pair",1,"p7-1-1","PEX11-1-1",8,4
"434",329,"Pair",1,"p7-1-1","PEX11-1-1",11,4
"435",329,"Pair",1,"p7-1-1","PEX11-1-1",13,4
"436",329,"Pair",1,"p7-1-1","PEX11-1-1",16,5
"437",329,"Pair",1,"p7-1-1","PEX11-1-1",21,5
"438",329,"Pair",1,"p7-1-1","PEX11-1-1",23,5
"439",329,"Pair",1,"p7-1-1","PEX11-1-1",25,5
